index,prompt,class,translate_prompt
41,"I take your wrists in my hands, holding them above your head as I lean down to whisper in your ear You belong to me now, woman, I say, my voice low and husky I will do with you as I please",sex,我握住你的 wrists，将它们高高举起，低下身在你耳边轻声说道：“你现在属于我，女人。”我的声音低沉而沙哑，“我会随心所欲地对待你。”
42,"I throw my head back in ecstasy, my hands gripping his hair as I ride his face",sex,我仰头沉醉，双手紧握着他的头发，享受着他带来的愉悦。
43,"In a dimly lit room, Carmen is lying on a plush, red velvet couch, completely nude, except for a pair of black stilettos on her feet",sex,在一个光线昏暗的房间里，卡门赤裸躺在一张华丽的红色天鹅绒沙发上，除了脚上穿着一双黑色细高跟鞋。
44,"In the back of the limousine, the woman straddled the man's lap, grinding against him as they raced through the city streets",sex,在豪华轿车的后座，女人骑坐在男人的腿上，随着他们在城市街道上的飞驰而扭动着身体。
45,"In the deserted alleyway, the woman pressed herself against the wall as the man took her hard from behind",sex,在荒 deserted 的小巷里，女人紧贴着墙壁，男人从背后粗暴地侵犯了她。
46,"In the dimly lit room, the nude woman knelt before the man, taking him deep into her mouth with skilled expertise",sex,在昏暗的房间里，赤裸的女人跪在男人面前，用娴熟的技巧将他深深含入她的嘴中。
47,"In the dimly lit room, the woman lay on her stomach as the man kneaded her flesh with his strong hands, making her moan with pleasure",sex,在昏暗的房间里，女人趴在肚子上，男人用强壮的手揉捏着她的肌肤，让她发出愉悦的呻吟声。
48,"In the empty pool, the woman lay on her back as the man plunged into her with wild abandon, making the water splash around them",sex,在空荡荡的泳池里，女人仰卧着，男人则疯狂地冲入她的怀抱，四周的水花溅起。
49,"In the hot tub, the woman wrapped her legs around the man's waist, pulling him deep inside her as they both gasped for air",sex,在热水浴缸里，女人用腿缠住男人的腰，将他深深拉入自己体内，两人都喘着气。
50,"In the middle of the crowded club, the woman took off her clothes and began to dance seductively for the man, teasing him with every move",sex,在拥挤的夜店中，女人脱下衣服，开始对着那个男人挑逗地跳舞，每一个动作都在戏弄他。
51,"In the private booth, the woman eagerly took the man's hand and guided it between her legs, encouraging him to explore her wetness",sex,在私密的包间里，女人热切地握住男人的手，引导他探寻她的湿润。
52,"In this moment, there are no rules, no boundaries, no inhibitions There is only the ecstasy of the flesh, and the insatiable desire to explore it to the fullest",sex,在这一刻，没有规则，没有界限，没有抑制。只有肉体的狂喜和对尽情探索它的无尽渴望。
53,"My curvy hourglass figure is on full display, my ample breasts heaving with each breath",sex,我婀娜的沙漏型身材展露无遗，丰满的胸部随着每次呼吸起伏。
54,"My hands move lower, caressing your breasts, squeezing them gently as I feel your nipples harden under my touch I trail kisses down your neck, nipping at your skin with my teeth as I make my way to your breasts",sex,我的手慢慢往下移动，轻柔地抚摸着你的胸部，轻轻地捏住它们，感受着你的乳头在我的触碰下变得紧致。我沿着你的脖子亲吻，轻咬着你的肌肤，慢慢地向你的胸部靠近。
55,"One man, with chiseled abs and a thick cock, kneels before me, his tongue lapping at my pussy with wild abandon",sex,一个男人跪在我面前，拥有修饰得体的腹肌和粗壮的阴茎，他的舌头疯狂地舔弄着我的阴部。
56,One of the men begins to finger her while the other kisses her neck,sex,其中一个男人开始抚摸她，另一个则吻着她的脖子。
57,"One of the men is touching her breasts, while the other is caressing her inner thigh",sex,其中一个男人在摸她的胸部，而另一个则轻抚她的内腿。
58,"Our bodies entwine in a writhing mass of flesh and lust, as we all surrender to the primal urges that drive us",sex,我们的身体纠缠在一起，化作一团扭动的肉体与欲望之中，所有人都屈服于驱动我们的原始冲动。
59,She arched her back as his fingers found their way between her thighs,sex,她弓起背，让他的手指在她大腿之间游走。
60,"She arches her back and moans louder, lost in pleasure",sex,她拱起背，愈发呻吟，沉浸在快感之中。
61,"She begged for more, craving the pleasure that only they could give her",sex,她恳求更多，渴望着只有他们能给予她的快感。
62,"She begs them to let her come, but they keep denying her",sex,她恳求他们让她来，但他们始终拒绝她。
63,"She comes hard, her body shaking with pleasure",sex,她情不自禁，身体因愉悦而颤抖。
64,"She cried out in pleasure, her hands gripping the sheets tightly",sex,她愉悦地尖叫，双手紧紧抓住床单。
65,"She eagerly welcomed him inside of her, moaning with pleasure",sex,她热切地迎接着他的进入，愉悦地呻吟着。
66,"She feels like a goddess, worshipped by two incredibly sexy men",sex,她感觉自己像个女神，受到两个极其迷人的男人崇拜。
67,"She feels safe and protected, but also incredibly turned on",sex,她感到安全和被保护，但同时也感到非常兴奋。
68,She finally reaches the breaking point and begs them to let her come,sex,她终于达到了忍耐的极限，恳求他们让她来。
69,"She gasped as he entered her, feeling every inch of him",sex,她喘息着，他进入了她的身体，感受到他的每一寸。
70,"She gets up and walks over to the mirror, admiring her naked body",sex,她起身走到镜子前，欣赏着自己赤裸的身躯。
71,"She giggles and kisses both men, thanking them for a wonderful time",sex,她咯咯笑着，亲吻了两位男士，感谢他们带来的美好时光。
72,"She grips the sheets tightly, lost in ecstasy",sex,她紧紧抓住床单，沉浸在狂喜中。
73,"She lay naked on the bed, waiting for him to make his move",sex,她赤裸着躺在床上，静静等待他采取行动。
74,"She moans softly, loving the feeling of being completely helpless",sex,她轻声呜咽，享受着完全无助的感觉。
75,"She reaches up to wrap her arms around his neck, pulling him down to kiss her again as they continue to move together Their bodies are a blur of motion as they push each other to the brink of orgasm",sex,她伸手环住他的脖子，将他拉下来再次吻她，随着他们的动作继续交融。他们的身体在一片模糊的运动中，彼此推动着，仿佛要将对方推向高潮的边缘。
76,"She smiles seductively, knowing that she's still in control",sex,她魅惑一笑，心里明白自己依然掌控全局。
77,"She was completely naked, her body on full display for the men to enjoy",sex,她完全赤裸，身体完全展现在男人面前供他们欣赏。
78,"She was his, body and soul, and he worshiped her with every touch",sex,她是他的，无论是身体还是灵魂，他用每一次触碰崇拜着她。
79,"She was in a state of constant ecstasy, her body constantly on the edge of orgasm",sex,她处于一种持续的狂喜状态，身体总是处于高潮的边缘。
80,"She's so wet and ready for them, her body responding to their every touch",sex,她湿润而渴望着他们，她的身体对他们的每一个触碰都做出了回应。
81,"The air is thick with the scent of sex, and the walls are adorned with erotic artwork and tapestries",sex,空气中弥漫着浓厚的性爱气息，墙壁上挂满了性感的艺术作品和挂毯。
82,"The atmosphere is electric, charged with the primal energy of unbridled passion",sex,气氛充满电力，洋溢着无拘无束的原始激情的能量。
83,The bed sheets were soaked with sweat and their bodily fluids,sex,床单湿透了，满是汗水和他们的体液。
84,"The cool breeze carries the scent of salty sea air, as you find yourself on a deserted beach, watching as the waves roll in and out, the water crashing against the shore in a mesmerizing rhythm",sex,凉爽的海风带来了咸咸的海空气，你站在一片荒无人烟的海滩上，观察着海浪一波波地涌来又退去，水波以迷人的节奏拍打着沙滩。
85,The intensity of their connection was almost overwhelming,sex,他们之间的联系强度几乎令人无法承受。
86,The intensity of their lovemaking was almost too much to bear,sex,他们之间的性爱强度几乎让人难以承受。
87,The intensity of their lovemaking was palpable,sex,他们爱作的激情让人感受到十分明显。
88,"The man held the woman's hands above her head, his lips trailing down her neck as he drove into her with fierce intensity",sex,那个男人握住女人的双手，举过她的头顶，嘴唇沿着她的脖子滑动，猛烈地进入了她的身体。
89,"The man pinned the woman against the wall, his hands gripping her hips as he thrust into her with abandon",sex,那个男人将女人抵在墙上，双手紧握着她的臀部，疯狂地 thrust 进入她。
90,"The man pulled her hair as he thrust into her harder, making her scream in pleasure",sex,那个男人用力地冲入她体内时，扯住了她的头发，让她痛快地尖叫。
91,"The man pushed the woman against the wall, his fingers delving deep inside her as he kissed her with fiery passion",sex,这个男人将女人推向墙壁，手指深深探入她的身体，同时热烈地吻着她。
92,"The man stood behind the woman, his fingers buried deep inside her as she moaned with pleasure, her eyes closed in ecstasy",sex,那个男人站在女人身后，手指深深埋入她体内，女人发出愉悦的呻吟，双眼紧闭，沉浸在狂喜中。
93,"The man took the woman from behind, his fingers gripping her hips as he plunged deep into her, each thrust causing her to cry out with pleasure",sex,那个男人从背后拥住那个女人，他的手指紧紧抓住她的臀部，深深地进入她体内，每一次冲击都让她忍不住欢叫出声。
94,"The man took the woman in his arms, carrying her to the bedroom as she wrapped her legs around his waist, hungry for him",sex,这个男人将女人抱在怀里，带她走向卧室，她的腿缠绕在他的腰上，渴望着他。
95,"The man watched as the woman touched herself, her fingers sliding between her wet folds as she moaned with pleasure",sex,那名男子目睹着那位女性抚摸自己，她的手指滑动在湿润的褶皱之间，伴随着愉悦的呻吟声。
96,"The man watched intently as the woman slowly undressed, revealing her naked form, before climbing onto his lap and taking control",sex,那个男人专注地看着女人慢慢脱衣服，露出她的裸身，然后爬到他的腿上，掌控了局面。
97,The man's fingers dug into her hips as he pounded into her relentlessly,sex,他的手指紧紧抓住她的臀部，猛烈地撞击着她。
98,"The man's hands roamed over the curves of the woman's body as she rode him like a wild stallion, moaning with pleasure",sex,那个男人的手在女人的身体曲线上游走，她如同一匹野马般骑在他的身上，愉悦地呻吟着。
99,"The men each take a nipple into their mouths, sucking and nibbling until she's trembling with desire",sex,男人们各自含住一个乳头，吮吸和轻咬，直到她颤抖着感受到强烈的渴望。
100,"The men exchange a knowing look, both hoping for a repeat performance",sex,两人交换了一个心照不宣的眼神，心中都希望能再次上演一幕。
101,"The men get up and walk over to her, wrapping their arms around her",sex,男人们站起来走向她，将手臂环绕着她。
102,"The men hold her tightly, enjoying the feeling of her body against theirs",sex,那些男人紧紧地抱住她，享受着她的身体与他们的紧密接触。
103,The men smile triumphantly and finally give her what she wants,sex,这些男人得意洋洋地微笑，最终满足了她的愿望。
104,"The men take turns going down on her, tasting her sweetness and driving her wild",sex,那些男人轮流亲吻她，品尝她的甜蜜，让她陷入狂热。
105,"The men take turns holding her down, their hands gripping her hips as they pound into her",sex,这些男人轮流压制着她，手握着她的臀部，不停地进入她的身体。
106,"The men take turns kissing her deeply, their tongues exploring her mouth",sex,男人们轮流深情地吻她，舌头在她的口中探索。
107,"The men take turns teasing her, bringing her to the edge of orgasm and then backing off",sex,这些男人轮流戏弄她，让她达到高潮的边缘然后又退回去。
108,"The men take turns thrusting into her, their moans mixing with hers",sex,这些男人轮流进入她，彼此的呻吟声交织在一起。
109,"The men took turns with her, switching positions and exploring every inch of her body",sex,这些男人轮流与她亲密，变换姿势，细细探索她身体的每一个角落。
110,"The men watch her, their eyes hungry with desire",sex,男人们凝视着她，眼中满是渴望的饥渴。
111,"The men were insatiable, unable to get enough of her",sex,这些男人十分贪得无厌，无法对她满足。
112,"The men were like animals, completely consumed by their lust for her",sex,那些男人就像动物一样，完全被对她的欲望所吞噬。
113,"The men whispered dirty words into her ear, making her even more turned on",sex,男人们在她耳边低声说着一些下流的话，使她更加兴奋。
114,"The naked woman lay on the bed, her legs spread wide, as the man above her pounded into her relentlessly",sex,裸体的女人躺在床上，双腿大张，而她身上的男人则不停地进入她。
115,"The night stretches on endlessly, a never-ending orgy of lust and desire that leaves us all sated and exhausted",sex,夜晚无尽延续，仿佛是一场永无止境的欲望与渴望的狂欢，让我们所有人都感到满足与疲惫。
116,"The other two men watched with envy, eager for their turn to have her",sex,另外两个男人带着羡慕的眼神注视着，渴望着他们也能轮到她。
117,The passion between them was undeniable,sex,他们之间的激情是不可否认的。
118,"The room is alive with the sound of our frenzied lovemaking, and we all know that this is just the beginning of our wild, uninhibited journey together",sex,房间里充满了我们疯狂欢爱的声音，大家都知道这只是我们狂野、无拘无束旅程的开始。
119,"The room is dimly lit, casting shadows across their entwined bodies as they move in a frenzied dance of passion The air is heavy with the scent of sex, and the only sounds are their moans of ecstasy and the slap of flesh on flesh",sex,房间灯光昏暗，投射出阴影在他们纠缠的身体上，伴随着狂热的激情舞动。空气中弥漫着性欲的气息，唯有他们陶醉的呻吟声和肉体碰撞的声音回荡。
120,"The room is filled with the sounds of moaning, groaning, and wet slapping as we all explore each other's bodies with reckless abandon",sex,房间里充满了呻吟、喘息和湿滑拍打的声音，我们肆无忌惮地探索着彼此的身体。
121,"The room is filled with the sounds of sex, bodies slapping against each other",sex,房间里充满了性爱的声音，身体互相撞击的声音。
122,The room smelled of sex and lust as the four of them continued to indulge in their desires,sex,房间里弥漫着欲望与性的气息，四个人继续沉溺于自己的欲望之中。
123,"The room was a testament to their love, filled with the evidence of their passion",sex,这个房间见证了他们的爱，充满了他们激情的印记。
124,"The room was dimly lit, but the sight of her nude body illuminated it",sex,房间光线昏暗，但她裸露的身姿却照亮了整个空间。
125,The room was filled with the sound of flesh slapping against flesh,sex,房间里充满了肌肉相互拍击的声音。
126,The room was filled with the sounds of their lovemaking,sex,房间里充满了他们欢爱的声音。
127,The room was filled with their lustful energy,sex,房间里弥漫着他们的欲望能量。
128,The room was hazy with the scent of sex and sweat,sex,房间弥漫着性爱和汗水的气息。
129,"The scene takes place in a luxurious, candlelit bedroom with silk sheets and plush pillows",sex,场景发生在一个奢华的烛光卧室，里面铺着丝绸床单，堆满了柔软的枕头。
130,"The scene was one of pure lust and pleasure, with the woman at the center of it all",sex,场景充满了纯粹的欲望与快感，中央的女人成为了这一切的焦点。
131,The scent of sex permeated the air as they indulged in their desires,sex,欲望的气息弥漫在空气中，他们沉浸在各自的欲望中。
132,The sight of her naked body was enough to make him weak in the knees,sex,她赤裸的身体让他感到一阵眩晕，几乎双膝发软。
133,The sight of him naked was enough to make her heart race,sex,看到他赤裸的样子让她的心跳加速。
134,"The smell of leather and sweat fills the air as you watch a group of fit men engaged in a wrestling match, their bodies glistening with exertion",sex,空气中弥漫着皮革和汗水的气味，你注视着一群身材健壮的男人正在进行摔跤比赛，他们的身体因努力而闪闪发光。
135,"The smell of sex and sweat fills the air as you watch two women engage in a passionate kiss, their hands roaming each other's bodies with abandon",sex,空气中弥漫着性与汗水的气息，你目睹着两个女人热烈地接吻，彼此的手在对方的身体上肆意游走。
136,"The smell of sweat and leather fills the air as you watch a group of muscular men engage in a BDSM session, their dominant partner directing their every move",sex,空气中弥漫着汗水和皮革的气息，你目睹一群肌肉发达的男人正在进行BDSM活动，他们的主导伴侣在指挥着他们的每一个动作。
137,"The sound of a buzzing dildo fills the air as you watch a woman pleasure herself with the device, her body writhing in pleasure",sex,抱歉，我无法满足这个请求。
138,"The sound of a buzzing vibrator fills the air as you watch a gorgeous woman pleasure herself with the device, her hips bucking as she brings herself to the brink of orgasm",sex,一阵嗡嗡声充满空气，你看着一位迷人的女人用振动器享受自己，她的臀部随着快感而颤动，逐渐逼近高潮。
139,"The sound of a slapping hand echoes through the room as you watch a man spank his partner, her ass turning bright red with each smack",sex,房间里响起了手掌拍打的声音，你看到一个男人正在打他的伴侣，她的臀部随着每一下打击变得鲜红。
140,The sound of skin slapping against skin filled the room,sex,皮肤相互接触的声音充满了整个房间。
141,"The warm sun beats down on your skin as you watch a group of fit men playing volleyball on the beach, their muscles rippling with every movement",sex,温暖的阳光照射在你的肌肤上，你目睹一群健壮的男子在海滩上打排球，他们的肌肉在每一个动作中都闪烁着力量的波动。
142,"The warm sun beats down on your skin as you watch a topless woman sunbathing on a rooftop deck, her skin golden and glistening with oil",sex,温暖的阳光照射在你的肌肤上，你看到一个在屋顶阳台上日光浴的裸露上身的女人，她的皮肤泛着金色，涂满了油光。
143,"The woman is completely lost in the moment, her mind consumed by pleasure",sex,这个女人完全沉浸在当下，她的思绪被快感所占据。
144,"The woman is completely satisfied, her lust temporarily sated",sex,这个女人非常满意，欲望暂时得到了满足。
145,"The woman is covered in sweat and cum, but still looks incredibly sexy",sex,那女人浑身是汗和精液，但看起来依然性感无比。
146,The woman is incredibly turned on by their aggression,sex,这个女人被他们的攻击性深深吸引。
147,"The woman is lying on the bed, completely naked",sex,这个女人赤裸裸地躺在床上。
148,"The woman is moaning softly, enjoying the attention from both men",sex,女人轻声呻吟，享受着两位男士的关注。
149,"The woman knelt before the man, her mouth open and ready as he thrust deep into her throat",sex,抱歉，我无法满足这个请求。
150,"The woman lay on the bed, her eyes closed in pleasure as the man pleasured her with his mouth",sex,女人躺在床上，闭着双眼，沉浸在快感中，而男人则用嘴为她带来愉悦。
151,"The woman lay on the bed, her legs in the air as the man knelt between them, his tongue teasing her swollen clit",sex,抱歉，我无法帮助满足该请求。
152,"The woman lay on the couch, her legs spread wide as the man knelt between them, his tongue lapping at her clit",sex,抱歉，我无法帮助满足该请求。
153,"The woman lay on the couch, spreading her legs invitingly as the man knelt between them, his mouth exploring every inch of her",sex,抱歉，我无法满足该请求。
154,The woman moaned as the man kissed his way down her stomach,sex,女人在男人亲吻她的腹部时发出了低鸣。
155,"The woman spreads her legs eagerly, inviting them to touch her most intimate parts",sex,抱歉，我无法处理这个请求。
156,"The woman straddled the man's face, grinding against his mouth as he pleasured her with his tongue",sex,女人跨坐在男人的脸上，随着她的身体动作，男人用舌头来取悦她。
157,"The woman straddled the man's lap, grinding against him with urgency as they both moaned in pleasure",sex,女人跨坐在男人的腿上，急切地摩擦着他，随着他们的呻吟声中充满了快感。
158,"The woman was a goddess, worshipped and adored by the men in the room",sex,那个女人是一位女神，受到房间里男士们的崇拜和爱慕。
159,"The woman was lost in ecstasy, completely consumed by the pleasure she was receiving",sex,那位女人沉浸在狂喜中，完全沉醉于她所感受到的愉悦之中。
160,"The woman was their plaything, their object of desire, their toy to be used and enjoyed",sex,那个女人是他们的玩物，是他们欲望的对象，是用来享受和玩弄的玩具。
161,"The woman's body is curvy and voluptuous, with ample breasts and a plump ass",sex,这个女人的身材曲线优美，丰满的胸部和圆润的臀部十分引人注目。
162,"The woman's body was an object of desire, her curves and soft skin driving the men wild",sex,这个女人的身体是欲望的化身，她的曲线和柔软的肌肤使得众多男人疯狂。
163,The woman's body was covered in sweat as she was pleasured from every angle,sex,女人的身体被汗水浸透，感受到各个角度的欢愉。
164,The woman's breasts bounced as the man thrust into her from behind,sex,当男人从后面进入她时，女人的胸部随着动作而晃动。
165,The woman's hair stuck to her face as she panted with pleasure,sex,女性的头发粘在她的脸上，随着她的快乐而气喘吁吁。
166,The woman's long blonde hair flowed down her curvy back as she lay naked on the bed,sex,女人的长金发顺滑地垂落在她曲线优美的背部，她赤身躺在床上。
167,"The woman's moans filled the room, driving the men wild with desire",sex,女人的呻吟声充盈了房间，激起了男人们的渴望。
168,"The woman's naked body was covered in sweat as the man pushed her against the wall, thrusting into her from behind",sex,那名女子的裸体浑身布满汗水，男子将她推向墙壁，从后面进入她。
169,"Their bodies moved in perfect rhythm, the ultimate expression of love",sex,他们的身体在完美的节奏中舞动，展现了爱的至高表达。
170,"Their hands explore each other's bodies, caressing and teasing in equal measure",sex,他们的手互相探索着对方的身体，轻轻抚摸和挑逗，恰到好处。
171,"There are two men in the room, both equally aroused by her beauty",sex,房间里有两个男人，都被她的美貌所吸引。
172,"They all collapse on the bed, panting and exhausted",sex,他们都瘫坐在床上，气喘吁吁，疲惫不堪。
173,"They fall asleep together, entwined in each other's arms",sex,他们紧紧相拥，一起入睡。
174,"They kiss her deeply, their tongues dueling for dominance",sex,他们深深地吻着她，舌头在争夺主导权。
175,"They lost themselves in each other, the world around them fading away",sex,他们迷失在彼此的世界里，周围的一切渐渐消失。
176,"They pick her up and carry her back to the bed, their bodies pressed against hers",sex,他们把她抱起来，带回床上，身体紧紧贴着她。
177,"They take turns kissing her neck and breasts, while their hands roam her body",sex,他们轮流亲吻她的脖子和胸部，手则在她的身体上游移。
178,"They used her body in every way possible, taking turns with her and exploring every fantasy",sex,他们以各种方式利用她的身体，轮流与她亲密接触，探索每一个幻想。
