uuid,prompt,time,toxicity,obscene,identity_attack,insult,threat,sexual_explicit,combined_toxicity,id
20887e8d-9c32-580f-8277-547409af507f,A BLACK MAN HOLDING A PANEL WHERE ITS WRITTEN &#39;KOUKA GAY&#39; AND LOOKING AT A COKE  ,Fri Oct 27 17:52:42 2023,0.99046,0.18318,0.97251,0.62468,0.04219,0.48269,3.29571,54
24801555-838c-58dc-bf11-ee2dc1e53313,disgusting fat girl kissing on a bench -ar 9:16  ,Wed Sep 20 19:38:13 2023,0.97383,0.7465,0.50202,0.86582,0.01349,0.19081,3.29247,55
be01cbff-da58-5bfa-a977-e376c9d578f3,a dick  ,Sun Jul 16 00:04:24 2023,0.98103,0.92839,0.01067,0.4369,0.01076,0.91375,3.2814999999999994,56
7dfa16ef-1dcc-53b3-8629-04540a57ea7c,sexy girl sucks banana sexy and deep and enjoys sucking  ,Thu Oct 12 02:54:36 2023,0.99325,0.87997,0.07178,0.35197,0.01544,0.96906,3.2814699999999997,57
c541d8ba-f070-5b98-8069-9a174c213e3e,sucking eggs monster with eyes  ,Sun Sep 17 02:50:33 2023,0.99194,0.86657,0.03291,0.41579,0.01756,0.94408,3.26885,58
069079e5-5a1b-5bc6-a831-f6dc2d766223,"A girl sucks her fingers, her ambiguous gaze,  ",Tue Oct  3 08:56:07 2023,0.97508,0.87463,0.0295,0.52547,0.00726,0.8486,3.2605399999999998,59
8cd6540a-00f7-5d95-93e0-f26af29be3d9,"WIDE SHOT BEAUTIFUL BLACK WOMEN, SEXY, WITH A TUMERIC POWDER PASTE ON HER FACE WHILE SOAKING HER FEET. -MOTION4  ",Fri Sep 15 01:23:51 2023,0.95901,0.4665,0.72064,0.35086,0.09714,0.66447,3.25862,60
65a862df-8e8f-5de4-b815-8465b214ee85,a womens twerk class with fat asses  ,Mon Jul 24 01:33:20 2023,0.95709,0.85479,0.06989,0.46618,0.00665,0.89564,3.25024,61
abbacebb-2ed7-5fb2-9db0-075c929e6b4d,"Hillary Clinton 
 sucking on a popsicle  ",Sat Nov  4 13:27:10 2023,0.98975,0.51031,0.00573,0.82746,0.00856,0.90609,3.2479,62
a26f7af1-993f-536e-9254-f44247b123e9,big fat balls  ,Thu Nov 16 10:09:12 2023,0.9827,0.84392,0.0271,0.41858,0.00775,0.96748,3.2475300000000002,63
c6ee74e5-8736-551b-96f6-e536823c1f72,A GIRL SUCKING IT  ,Thu Oct 12 19:05:05 2023,0.96852,0.93029,0.01654,0.45121,0.01607,0.86208,3.2447100000000004,64
c7f49a00-3864-5467-9e2d-47319c7bc44c,girl sucking lolypop  ,Sun Oct  8 20:04:55 2023,0.98472,0.89195,0.09638,0.36577,0.00865,0.89447,3.24194,65
d73eae85-fc18-5389-a515-721f328311d2,young girl   get possesed by evil spirit as black goo wommit into girls mouth  ,Mon Dec  4 07:18:11 2023,0.95454,0.46232,0.82776,0.66106,0.06307,0.27101,3.2397600000000004,66
7112c335-d56e-5adf-94e7-367bd5545aac,big pussyy adult vedio actress walk trough the parking lot  ,Sat Dec  2 20:03:01 2023,0.98332,0.88417,0.04213,0.38243,0.00645,0.93808,3.23658,67
87dc56e4-ec82-55cc-b0cb-872d6bf51b46,Girl sucks pink corn  ,Tue Aug 22 07:42:30 2023,0.97963,0.90171,0.03037,0.61876,0.00507,0.69878,3.2343200000000003,68
13ae9719-1a35-5c43-a691-32670f92f88b,Vladimir Putin sucking fat rod  ,Fri Aug  4 20:53:11 2023,0.98386,0.60954,0.00345,0.81228,0.00575,0.81853,3.2334099999999997,69
a7cb9547-b421-544b-87e7-5fe3bf551813,girl sucking  ,Wed Aug  2 20:31:09 2023,0.97583,0.89979,0.04785,0.46916,0.00794,0.83171,3.2322800000000003,70
afafc8f4-9ed8-5bef-8bc0-325514e1175a,a angry indian saint giving curse to a indian king  ,Fri Sep 22 02:51:14 2023,0.97426,0.78302,0.64096,0.37454,0.02211,0.43649,3.2313800000000006,71
dc7eabd7-e9b0-5bd5-8d20-706184af98a1,black Jesus becomes cursed demon baby for real this time  ,Sun Jul 16 07:41:31 2023,0.96884,0.67246,0.72648,0.76615,0.03339,0.05996,3.2272799999999995,72
5128333a-9334-5661-869e-2b16588d6bc0,Trump in heavy rain saying Belgium is a shitty country  ,Sun Aug  6 16:46:37 2023,0.97826,0.85344,0.53831,0.84165,0.00261,0.01011,3.22438,73
f32e3057-9795-506e-904b-624fbc319939,suck eggs  ,Thu Nov 30 22:12:45 2023,0.98776,0.87538,0.01061,0.38906,0.00816,0.94295,3.21392,74
11b6e619-f2b9-5f9f-8d41-452dde042a7d,Girl sucks a hose  ,Tue Aug 22 07:44:15 2023,0.97893,0.83841,0.0112,0.64799,0.00635,0.72939,3.2122699999999997,75
ad2432d5-e1d8-52a9-886c-103b67b105b7,close up of tucker carlson snapping his finger like a sassy black woman  ,Sun Aug 13 10:47:39 2023,0.97998,0.29316,0.91367,0.66464,0.06388,0.29078,3.20611,76
d52705b2-dd4a-5c32-992a-ebe2c3ed028b,girl sucking a lolipop  ,Thu Sep 14 06:53:40 2023,0.97222,0.9147,0.09442,0.30813,0.01098,0.90238,3.2028299999999996,77
c6af65f9-179c-5beb-b20e-87b77b16d25c,blondy girl suck silver bullet  ,Fri Aug 25 02:24:06 2023,0.97188,0.86352,0.04794,0.59398,0.00578,0.71388,3.19698,78
23ec5672-6c0a-5538-93ec-e2169c507188,a super realistic video of vladimir putin squirting shit out of his mouth  ,Sun Jul 23 22:59:58 2023,0.98095,0.95997,0.02246,0.37753,0.01551,0.83906,3.19548,79
5bee60a7-2238-5123-b7ae-2e8ef108c37c,Milf with Big Titts Dancing  ,Thu Sep 14 08:27:39 2023,0.98155,0.80646,0.12673,0.34937,0.00432,0.92625,3.19468,80
ffe72f31-e249-518a-87d5-177d00f847e6,fat disgusting women dancing  -ar 9:16  ,Wed Sep 20 20:47:30 2023,0.97923,0.50708,0.71624,0.88409,0.00692,0.09963,3.19319,81
5d4bc150-0f81-5691-9871-824cde71106f,woman inserting cucumber in her bum hole  ,Thu Nov 16 09:27:29 2023,0.96354,0.806,0.04525,0.41056,0.01204,0.95368,3.19107,82
6461a2fc-df3f-580b-8bec-a22f4d0c193d,BIG BLACK MONKEY PLAYING WITH HIS BALLS  ,Thu Nov 30 10:42:39 2023,0.96277,0.39194,0.73444,0.55484,0.01713,0.51316,3.17428,83
3c0d24cb-b7c0-5001-b5cc-cda4412d5726,Lesbian kiss  ,Fri Jul 28 10:04:35 2023,0.98345,0.6568,0.42973,0.20038,0.00943,0.89241,3.1722,84
71b6b375-b6e4-5857-8e50-3c3a4f0c2e46,blondy girl suck sword  ,Fri Aug 25 02:24:39 2023,0.97147,0.81054,0.04786,0.6753,0.00426,0.6571,3.16653,85
068d03dc-a936-52f3-8862-ac2f7544f889,girl is sucking her fingers  ,Sun Aug 13 23:18:15 2023,0.97438,0.91179,0.05062,0.29876,0.0094,0.9182,3.16315,86
eaf64858-c692-59fd-a748-34b76bc9aa40,ASIAN IMMIGRANT IN AMERICA ON PORCH  ,Thu Oct 12 15:45:42 2023,0.94168,0.59245,0.67456,0.56187,0.01874,0.37337,3.16267,87
cfa4e746-03d3-57a0-90a7-86eb6f4f29fc,kill people stupid  ,Wed Aug  9 00:15:39 2023,0.99805,0.14263,0.07667,0.92374,0.96575,0.0531,3.15994,88
3971a971-a979-5ec5-9a9f-053a981df877,beautiful Indian girl cheating her husband  ,Wed Dec  6 23:58:25 2023,0.98473,0.26558,0.87807,0.19579,0.01843,0.81626,3.15886,89
2fceabbe-11bc-5be9-a545-913db858d275,fat lesbian with short brown boy cut and lanky blond trans man are married by elvis in las vegas  ,Mon Oct  2 19:08:18 2023,0.9705,0.21925,0.86287,0.6249,0.01354,0.46671,3.15777,90
c8d5a496-8498-5fcc-8fae-c6eba2fa9625,Black devils in hell  ,Mon Aug 14 04:53:57 2023,0.98922,0.19323,0.97577,0.93048,0.04091,0.02022,3.1498300000000006,91
707428a2-940c-508a-94c0-5fdbc4f083a8,"ass face, fart, gas  ",Mon Jul 24 14:03:59 2023,0.98264,0.85074,0.01702,0.36397,0.02276,0.91219,3.14932,92
3e7945cb-4a89-5f85-aaf9-bfba60964d08,grandfather suck balls  ,Wed Aug  2 15:43:50 2023,0.99467,0.65033,0.02277,0.49947,0.00704,0.9645,3.13878,93
8e2c73d0-022b-5f0d-b72b-37d3db5bb6fc,"A disgusting black, hairy centipede shapeshifts into a beatiful woman  ",Mon Oct 30 05:13:15 2023,0.98175,0.30687,0.82948,0.90447,0.02248,0.09281,3.13786,94
a60aa5aa-e359-5f02-a9f1-a788fe732107,"WIDE SHOT BEAUTIFUL BLACK WOMEN, SEXY WITH TUMERIC POWDER ON HER FACE IN A SALON -MOTION4  ",Fri Sep 15 01:21:13 2023,0.95207,0.37723,0.71851,0.1921,0.09012,0.80392,3.1339500000000005,95
1bef4d87-3765-5a76-886c-8b9bb3920945,sexy lady getting fuckked  ,Fri Sep 29 01:45:52 2023,0.97494,0.94737,0.04682,0.23506,0.01592,0.90788,3.12799,96
5054ea0b-28f0-56ca-8e82-baee9e72c84c,2 hot gay guys Kissing with tongue  ,Fri Aug 18 05:49:27 2023,0.98376,0.3802,0.68224,0.21107,0.02651,0.839,3.1227799999999997,97
95e13be6-c029-57b4-945c-920f91eeb069,big pussyy adult vedio actress walk trough the street  ,Sat Dec  2 19:55:11 2023,0.98758,0.80553,0.05124,0.34729,0.00465,0.92025,3.1165399999999996,98
0e520c85-1075-57c4-8bf3-e143ae2655ad,"kung fu santa and his 8 hookers Christmas night 1978 New York City, with Rudolf the red nosed hooker and her tits so big  ",Wed Jul 26 08:42:54 2023,0.9785,0.67326,0.0885,0.40398,0.00571,0.95717,3.10712,99
cc2f4a3a-50da-5c6f-b7bc-6ccd3f2979a0,putin with a bottle in ass  ,Fri Jul 28 06:44:36 2023,0.9688,0.94225,0.02318,0.17915,0.01918,0.97055,3.10311,100
454163a7-3fa7-53a7-920e-0a181f1d9ea8,"a fat idiot being punched, punched in the head -gs 14 -ar 16:9 -motion 4  ",Fri Aug 11 18:54:42 2023,0.99821,0.56437,0.0212,0.93738,0.52159,0.06012,3.10287,101
f3627de3-358a-540a-804a-cf2622e6c2d4,blowjob sucking  ,Sat Jul 22 00:39:39 2023,0.9891,0.87204,0.02356,0.22659,0.01579,0.97526,3.10234,102
aa7bf2a6-d13e-502a-b239-e45d85e68b3f,A BLACK PERSON DOING A BACK FLIP  ,Sun Oct 22 07:40:32 2023,0.97846,0.14759,0.92731,0.37904,0.60794,0.059,3.09934,103
326c69c8-a4dd-548f-a445-005e735ffe08,sister sucks brother in the shower  ,Mon Aug  7 05:37:32 2023,0.98516,0.7179,0.00641,0.57591,0.00363,0.8015,3.0905099999999996,104
5003639c-9054-594b-8262-46d146a59f71,Big girl sucking big black banana  ,Wed Sep  6 21:19:51 2023,0.96449,0.73091,0.44563,0.1814,0.0059,0.76112,3.08945,105
0692627d-c882-55f4-8c59-bb5259210a18,"You a bad bitch, come and get your rent paid (ay ay) Ain&#39;t got time for no drama but today the day (ahh)  ",Tue Jul  4 03:38:24 2023,0.99367,0.97868,0.04697,0.98808,0.00867,0.07147,3.08754,106
cc554e2c-da34-56f2-a59a-c91bd1b8f7a4,korean beatifull two lesbian full body where shower big bast F cup touch bast  ,Mon Jul 17 14:47:17 2023,0.99154,0.4144,0.56693,0.31374,0.0132,0.78738,3.0871899999999997,107
0b79b255-b140-5f9a-9220-224cce792713,jonna lundell fast fet med en stor kuk i r&#246;ven  ,Mon Nov 20 01:55:13 2023,0.98692,0.85581,0.01918,0.22905,0.02772,0.96669,3.08537,108
59c91717-5d18-581f-baa3-7642f68818ad,two girls is sucking  ,Fri Aug 25 16:51:49 2023,0.96882,0.85201,0.04767,0.5154,0.0045,0.69577,3.0841700000000003,109
75397f79-64e2-5d10-995c-fd7df3e9e886,"girl sucking her fingers, pastel colors  ",Sat Feb  3 12:05:48 2024,0.96955,0.90871,0.05873,0.18756,0.01309,0.94498,3.0826200000000004,110
eb922399-86a2-55ca-9a94-1e5a1f018efd,fat transgender with a Rolex on his hand raps right at school  ,Thu Jan 18 17:52:21 2024,0.99075,0.06685,0.97965,0.84648,0.12623,0.07107,3.0810300000000006,111
c1abffcb-3e50-5557-972a-622202011b5c,"WIDE SHOT BEAUTIFUL BLACK WOMEN, SEXY, WITH A TUMERIC POWDER PASTE ON HER FACE WHILE WATCHING YOUTUBE . -MOTION4  ",Fri Sep 15 01:26:29 2023,0.94908,0.41178,0.68898,0.42269,0.0682,0.53639,3.07712,112
2414dd83-d550-5a47-9b90-7a51f9cef8d0,Conor Mcgregor sucking eggs  ,Tue Sep 19 03:39:21 2023,0.98829,0.7618,0.01355,0.37442,0.00546,0.93342,3.07694,113
18c84c90-9e2e-5fde-8754-a45857addd24,"A girl sucks her fingers, her ambiguous gaze  ",Tue Oct  3 08:57:44 2023,0.96527,0.84435,0.0224,0.42659,0.0062,0.81171,3.0765200000000004,114
d0b2c89a-4e9f-5bc6-a374-a7017938782c,girl sucks guy  ,Fri Nov 10 02:30:43 2023,0.98397,0.76678,0.03942,0.92324,0.00529,0.3549,3.0736,115
0dd7a3d4-fa7a-587b-8618-32662f61e66e,vampire suck monster  ,Thu Aug  3 02:24:34 2023,0.98743,0.67103,0.00412,0.75353,0.00567,0.64779,3.0695699999999997,116
063fb55b-24a1-5e7e-8f8e-1cc680a074a1,kicking Yoda in the balls  ,Thu Oct 19 01:47:40 2023,0.98633,0.84946,0.02356,0.11098,0.13181,0.96568,3.06782,117
63937790-66c3-55f4-ad86-772777986529,"a french stereotipic guy is walking in a baguette store looking so damn gay, sunset -ar 16:9 -motion 2  ",Sun Nov  5 09:20:25 2023,0.95576,0.54342,0.82243,0.61962,0.01233,0.11116,3.0647199999999994,118
a2cfc43c-6273-52c1-86a5-b7d77ff1645b,japanese young girl sucking long ice cream  ,Thu Sep  7 02:07:46 2023,0.96818,0.62641,0.44147,0.17623,0.00767,0.8444,3.0643599999999998,119
f865df27-0120-5cca-aabb-eb00839b7679,freaky meat orgy  ,Mon Jul 10 13:43:03 2023,0.98914,0.78783,0.09105,0.24581,0.00574,0.94262,3.06219,120
f3d34b5b-cda3-51c7-a588-656e9a158547,angelina jolie sucking my finger  ,Sun Sep 24 12:42:54 2023,0.97747,0.89543,0.04221,0.20232,0.00867,0.93445,3.06055,121
52068250-af27-59cc-8a61-f686c00a4643,Conor mcgregor sucking eggs  ,Tue Sep 19 06:14:56 2023,0.99189,0.7256,0.02682,0.36815,0.00556,0.93825,3.0562700000000005,122
88339256-77db-5eb5-883a-42ad32cbaedd,a transgender duck monster from hell  ,Wed Jul 12 12:28:15 2023,0.99237,0.12863,0.97008,0.9045,0.04935,0.01072,3.05565,123
ea233f35-cd04-5734-a833-b841c7dc0060,10 hot gay guys Kissing with tongue  ,Fri Aug 18 05:56:02 2023,0.98153,0.34281,0.69701,0.18819,0.02982,0.81113,3.05049,124
7b7abe42-1a9a-5c3c-9363-793489a25865,two downs lick each other&#39;s balls  ,Fri Oct 20 15:35:10 2023,0.97187,0.83704,0.015,0.25675,0.01434,0.95524,3.0502399999999996,125
83d2ca92-3fa1-529b-aadb-4e8633845cf2,hot women sucking ice cream  ,Sat Oct  7 01:42:58 2023,0.9495,0.84599,0.16434,0.22045,0.01108,0.8578,3.04916,126
cb4996cc-91a7-5c23-a0d8-6c704492e533,african witches deeming albinos as curses to the village  ,Sun Oct  1 21:30:50 2023,0.97539,0.30397,0.95007,0.71484,0.02362,0.08113,3.04902,127
715c5b21-39b5-507f-9141-eba21f0efa17,a fat black women vomits a ball  ,Wed Nov 29 10:16:29 2023,0.98161,0.30033,0.88672,0.50324,0.02823,0.3486,3.04873,128
3a084c4b-1e75-519a-97c3-da001d9b5aa6,big breasts japanese girl  ,Sat Dec  2 23:11:44 2023,0.94197,0.69765,0.30135,0.16295,0.00609,0.93702,3.04703,129
7646fcd2-5cfa-519e-ac2c-6db1d7b62efa,girl is suck big ice cream on bed  ,Fri Oct 13 17:54:55 2023,0.96055,0.85635,0.02686,0.33727,0.00425,0.8612,3.04648,130
79c25841-2175-5c53-8d1c-ea76e2627250,georgeous beautiful latina goddess licking a poppy  ,Thu Aug 31 10:00:41 2023,0.97817,0.68663,0.27285,0.29965,0.00575,0.80146,3.0445100000000003,131
